a | один, одна, одне, одини
about | про, близько
all | все, цілий
am | є, я є
an | один, одна, одне
and | і, та, й
are | є, вони є
as | як
at | на, у
be | бути
because | тому що
been | був, була, було, були
before | перед
between | між
by | за, через
can | може
cannot | не може
could | міг, могла, могло, могли
did | зробив, зробила, зробило, зробили
do | робити
does | робить
either | або
else | інакше
for | для
from | з, від
had | мав, мала, мало, мали
has | має, мають
have | мати, мають
he | він
her | її
hers | її
him | його
his | його
how | як
i | я
if | якщо
in | в, у
into | в, у
is | є
it | воно
its | його, її, їх
let | хай, нехай
like | як, подобатися
may | може
me | мене
might | міг би, могла би, могло б, могли б
must | мусити
my | мій, моя, моє, мої
no | ні
not | не
of | з, від
off | з, від
on | на, у
or | або
ought | повинен, повинна, повинно, повинні
our | наш, наша, наше, наші
out | з, від
over | над, понад
said | сказав, сказала, сказало, сказали
same | той самий, та сама, те саме, ті самі
see | бачити
she | вона
should | повинен, повинна, повинно, повинні
so | так
some | деякий, деяка, деяке, деякі
than | ніж
that | що, той, та, те, ті
the | the
their | їхній, їхня, їхнє, їхні
them | їх
then | тоді
there | там
these | ці
they | вони
this | це
to | до
was | був, була, було, були
were | були
what | що
when | коли
where | де
which | який, яка, яке, які
while | поки
who | хто
why | чому
will | буде, будуть
with | з, разом з
would | хотів би, хотіла б, хотіло б, хотіли б
you | ти, ви
your | твій, твій, твоє, твої
